Fondsposition per,"05.Juni2026"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ASML","ASML HOLDING NV","IT","Aktien","443.286.400,80","4,37","443.286.400,80","303.164,00","1.462,20","Niederlande","Euronext Amsterdam","EUR"
"HSBA","HSBC HOLDINGS PLC","Finanzwesen","Aktien","211.287.020,15","2,08","211.287.020,15","13.407.004,00","15,76","Vereinigtes Königreich","London Stock Exchange","GBP"
"ROP","ROCHE PS PAR AG","Gesundheitsversorgung","Aktien","195.672.835,40","1,93","195.672.835,40","549.127,00","356,33","Schweiz","SIX Swiss Exchange","CHF"
"AZN","ASTRAZENECA PLC","Gesundheitsversorgung","Aktien","194.570.406,08","1,92","194.570.406,08","1.212.354,00","160,49","Vereinigtes Königreich","London Stock Exchange","GBP"
"NOVN","NOVARTIS AG","Gesundheitsversorgung","Aktien","191.270.655,92","1,89","191.270.655,92","1.488.205,00","128,52","Schweiz","SIX Swiss Exchange","CHF"
"NESN","NESTLE SA","Nichtzyklische Konsumgüter","Aktien","168.483.881,97","1,66","168.483.881,97","2.009.630,00","83,84","Schweiz","SIX Swiss Exchange","CHF"
"SHELL","SHELL PLC","Energie","Aktien","166.254.056,55","1,64","166.254.056,55","4.445.890,00","37,40","Vereinigtes Königreich","Euronext Amsterdam","EUR"
"SIE","SIEMENS N AG","Industrie","Aktien","158.100.633,60","1,56","158.100.633,60","588.172,00","268,80","Deutschland","Xetra","EUR"
"TTE","TOTALENERGIES","Energie","Aktien","131.914.612,08","1,30","131.914.612,08","1.704.984,00","77,37","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"SAP","SAP","IT","Aktien","128.459.277,76","1,27","128.459.277,76","795.512,00","161,48","Deutschland","Xetra","EUR"
